id,source,url,date,title,keywords,summary
1,bbc,https://www.bbc.com/future/article/20200821-how-wildfire-pollution-may-be-harming-your-health,2020-08-21 00:00:00,Why wildfire smoke may be harming your health,,
2,bbc,https://www.bbc.com/travel/story/20200910-florences-wine-portals-from-the-17th-century,2020-09-10 00:00:00,Florence’s wine portals from the 17th Century,,
3,bbc,https://www.bbc.co.uk/bbcthree/article/d38267bc-0127-44f2-a95a-08b74e75c2e5,2020-08-29 23:01:12.031560+00:00,'My skin condition made me a hermit',,
4,cnn,https://edition.cnn.com/2020/09/12/sport/iran-wrester-navid-afkari-executed-intl/index.html,2020-09-12 00:00:00,Iranian champion wrestler Navid Afkari executed despite international campaign,,
5,cnn,https://edition.cnn.com/2020/09/12/golf/ana-inspiration-korda-leads-lee-thompson/index.html,2020-09-12 00:00:00,Nelly Korda leads at halfway in pursuit of maiden major title,,
6,cnn,http://arabic.cnn.com/middle-east/article/2020/09/12/iran-executes-afkari-wrestler,2020-09-12 00:00:00,"""لم تمنح عائلته فرصة لتوديعه"".. السلطات الإيرانية تُعدم المصارع نافيد أفكاري",,
7,cnn,http://arabic.cnn.com/middle-east/article/2020/09/12/gargash-startegic-change-necessary,2020-09-12 00:00:00,"قرقاش يتحدث عن ضرورة ""الاختراق الاستراتيجي"" ويؤكد: لا يمكن استنساخ تجارب الماضي",,
8,cnn,http://arabic.cnn.com/travel/article/2020/09/12/comedy-wildlife-photography-awards-2020-offer-relief,2020-09-12 00:00:00,من سمكة مبتسمة إلى راكون متدلي.. جائزة كوميديا الحياة البرية للتصوير الفوتوغرافي,,
9,cnn,http://arabic.cnn.com/travel/video/2020/09/12/v94712-python-egg-mystery-newsource-orig,2020-09-12 00:00:00,شاهد.. أقدم أفعى تضع البيض بدون تزاوج مع ذكر منذ 15 عامًا,,
10,cnn,http://arabic.cnn.com/travel/video/2020/09/12/v94709-mexico-tourism-teotihuacan-reopening-coronavirus-covid-19,2020-09-12 00:00:00,المكسيك تأمل إحياء السياحة مع إعادة افتتاح مدينة تيوتيهواكان الأثرية,,
11,cnn,http://arabic.cnn.com/health/video/2020/09/12/v94714-kids-covid-diabetes-type-one,2020-09-12 00:00:00,يمكن لفيروس كورونا التأثير على الأطفال بطريقة غير عادية,,
12,cnn,https://edition.cnn.com/2020/09/12/health/coronavirus-vaccine-trial-pause/index.html,2020-09-12 00:00:00,Coronavirus vaccine: Is it common to pause clinical trials?,,
13,guardian,https://www.theguardian.com/culture/2020/sep/12/terence-conran-designer-retailer-and-restaurateur-dies-aged-88,2020-09-12 00:00:00,"Terence Conran, designer, retailer and restaurateur, dies aged 88",,
